Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
W093012,W093012,,Betterply,,,Wall Cabinet,TRUE,Material,Winter Frost SM,,,,,B1, ,,,deny,manual,120.99,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,1,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,T-shirts,"cotton, pre-shrunk",used,FALSE,,,,,,,g,,,,,active
W093012,,,Betterply,,,Wall Cabinet,,Material,Sun Grey HG,,,,,B2, ,,,deny,manual,120.99,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,2,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Betterply,,,Wall Cabinet,,Material,Sun Grey SM,,,,,B3, ,,,deny,manual,120.99,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,3,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Betterply,,,Wall Cabinet,FALSE,Material,Stone Grey HG,,,,,B4, ,,,deny,manual,120.99,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,4,,FALSE,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Betterply,,,Wall Cabinet,FALSE,Material,Stone Grey SM,,,,,B5, ,,,deny,manual,120.99,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,5,,FALSE,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Betterply,,,Wall Cabinet,,Material,Eclipse  HG,,,,,B6, ,,,deny,manual,120.99,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,6,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Betterply,,,Wall Cabinet,,Material,Eclipse  SM,,,,,B7, ,,,deny,manual,120.99,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,7,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Betterply,,,Wall Cabinet,,Material,Royal Blue HG,,,,,B8,,,,deny,manual,120.99,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Betterply,,,Wall Cabinet,,Material,Royal Blue SM,,,,,B9,,,,deny,manual,120.99,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Betterply,,,Wall Cabinet,,Material,Majestic HG,,,,,B10,,,,deny,manual,120.99,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Betterply,,,Wall Cabinet,,Material,Majestic SM,,,,,T1,,,,deny,manual,220.44,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Tafisa,,,Wall Cabinet,,Material,Brushed Aluminum,,,,,T2,,,,deny,manual,220.44,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Tafisa,,,Wall Cabinet,,Material,River Rock,,,,,T3,,,,deny,manual,220.44,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Tafisa,,,Wall Cabinet,,Material,Sheer Beauty,,,,,T4,,,,deny,manual,220.44,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Tafisa,,,Wall Cabinet,,Material,Fashionista,,,,,T5,,,,deny,manual,220.44,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,,,,,,,,,,,,,,,,,,,,g,,,,,active
W093012,,,Tafisa,,,Wall Cabinet,,Material,The Chameleon,,,,,T6,,,,deny,manual,220.44,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=5000,,,,,,,,,,,,,,,,,,,,g,,,,,active
