Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Cuppowood-BP3596,"Back Panel 35""W 96""H 0.75""D (BP3596)","Width:35, Height:96, Depth:0.75",,Furniture > Cabinets & Storage > Kitchen Cabinets,Panel,"back_panel, 35W, 96H, D0.75D, back, accessories",,Material,Pearl White HG,,,,,BP3596-MDPE3004-181S90,,,,deny,manual,507.33,,TRUE,TRUE,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Accessorise/BP_back.jpg,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/AccConcatPhoto/BP_back--PearlWhiteHG.jpg,g,,,,,active
Cuppowood-BP3596,,,,,,,,Material,Winter Frost SM,,,,,BP3596-MDPE3035-181S36,,,,deny,manual,507.33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/AccConcatPhoto/BP_back--WinterFrostSM.jpg,g,,,,,
Cuppowood-BP3596,,,,,,,,Material,Sun Grey HG,,,,,BP3596-MDPE3033-181S90,,,,deny,manual,507.33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/AccConcatPhoto/BP_back--SunGreyHG.jpg,g,,,,,
Cuppowood-BP3596,,,,,,,,Material,Sun Grey SM,,,,,BP3596-MDPE3033-181S36,,,,deny,manual,507.33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/AccConcatPhoto/BP_back--SunGreySM.jpg,g,,,,,
Cuppowood-BP3596,,,,,,,,Material,Stone Grey HG,,,,,BP3596-MDPE3020-181S90,,,,deny,manual,507.33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/AccConcatPhoto/BP_back--StoneGreyHG.jpg,g,,,,,
Cuppowood-BP3596,,,,,,,,Material,Stone Grey SM,,,,,BP3596-MDPE3020-181S36,,,,deny,manual,507.33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/AccConcatPhoto/BP_back--StoneGreySM.jpg,g,,,,,
Cuppowood-BP3596,,,,,,,,Material,Eclipse HG,,,,,BP3596-MDPE3023-181S90,,,,deny,manual,507.33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/AccConcatPhoto/BP_back--EclipseHG.jpg,g,,,,,
Cuppowood-BP3596,,,,,,,,Material,Eclipse SM,,,,,BP3596-MDPE3023-181S36,,,,deny,manual,507.33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/AccConcatPhoto/BP_back--EclipseSM.jpg,g,,,,,
Cuppowood-BP3596,,,,,,,,Material,Royal Blue HG,,,,,BP3596-MDPE3070-181S90,,,,deny,manual,507.33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/AccConcatPhoto/BP_back--RoyalBlueHG.jpg,g,,,,,
Cuppowood-BP3596,,,,,,,,Material,Royal Blue SM,,,,,BP3596-MDPE3070-181S36,,,,deny,manual,507.33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/AccConcatPhoto/BP_back--RoyalBlueSM.jpg,g,,,,,
