Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Cuppowood-W093012,W093012,,,,,,,Material,Brushed Aluminum,,,,,W093012-PBME0474T-192S58,,,,deny,manual,213.13,,TRUE,TRUE,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Cabinet/W-EWR_SINGLEDOOR.jpg,1,,,,,,,,,,,,,,,,,,,g,,,,,active
Cuppowood-W093012,,,,,,,,Material,River Rock,,,,,W093012-PBME0538T-192S75,,,,deny,manual,213.13,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Sheer Beauty,,,,,W093012-PBME0581T-192S77,,,,deny,manual,213.13,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Fashionista,,,,,W093012-PBME0582T-192S77,,,,deny,manual,213.13,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Cuppowood-W093012,,,,,,,,Material,The Chameleon,,,,,W093012-PBME0584T-192S77,,,,deny,manual,213.13,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Weekend Getaway,,,,,W093012-PBME2003T-192S12,,,,deny,manual,213.13,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Winter Fun,,,,,W093012-PBME2004T-192S12,,,,deny,manual,213.13,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Casting at First Light,,,,,W093012-PBME2007T-192S12,,,,deny,manual,213.13,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Sugar on Ice,,,,,W093012-PBME2014T-192S12,,,,deny,manual,213.13,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Sand Gladstone Oak,,,,,W093012-H3309 ST28,,,,deny,manual,222.27,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,,,,
