Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Cuppowood-W093012,"30"" High Wall Cabinet 09""W 30""H 12""D (W093012)","Width:09, Height:30, Depth:12",,Furniture > Cabinets & Storage > Kitchen Cabinets,Wall Cabinet,"30_high_wall_cabinet, 09W, 30H, D12D",,Material,Pearl White HG,,,,,W093012-MDPE3004-181S90,,,,deny,manual,233.5,,TRUE,TRUE,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/Cabinet/W-EWR_SINGLEDOOR.jpg,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--PearlWhiteHG.jpg,g,,,,,active
Cuppowood-W093012,,,,,,,,Material,Winter Frost SM,,,,,W093012-MDPE3035-181S36,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--WinterFrostSM.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Sun Grey HG,,,,,W093012-MDPE3033-181S90,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--SunGreyHG.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Sun Grey SM,,,,,W093012-MDPE3033-181S36,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--SunGreySM.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Stone Grey HG,,,,,W093012-MDPE3020-181S90,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--StoneGreyHG.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Stone Grey SM,,,,,W093012-MDPE3020-181S36,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--StoneGreySM.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Eclipse HG,,,,,W093012-MDPE3023-181S90,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--EclipseHG.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Eclipse SM,,,,,W093012-MDPE3023-181S36,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--EclipseSM.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Royal Blue HG,,,,,W093012-MDPE3070-181S90,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--RoyalBlueHG.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Royal Blue SM,,,,,W093012-MDPE3070-181S36,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--RoyalBlueSM.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Majestic HG,,,,,W093012-MDPE3074-181S90,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--MajesticHG.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Majestic SM,,,,,W093012-MDPE3074-181S36,,,,deny,manual,233.5,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--MajesticSM.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Brushed Aluminum,,,,,W093012-PBME0474T-192S58,,,,deny,manual,209.19,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--BrushedAluminum.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,River Rock,,,,,W093012-PBME0538T-192S75,,,,deny,manual,209.19,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--RiverRock.jpg,g,,,,,
Cuppowood-W093012,,,,,,,,Material,Sheer Beauty,,,,,W093012-PBME0581T-192S77,,,,deny,manual,209.19,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://s3.us-east-2.amazonaws.com/static.spaice.ca/share/cuppowood/ConcatPhoto/W-EWR_SINGLEDOOR--SheerBeauty.jpg,g,,,,,
