Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Cuppowood-BP3596,"Back Panel 35""W 96""H 0.75""D (BP3596)",,,,,,,Material,Pearl White HG,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
Cuppowood-BP3596,,,,,,,,Material,Winter Frost SM,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Sun Grey HG,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Sun Grey SM,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Stone Grey HG,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Stone Grey SM,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Eclipse HG,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Eclipse SM,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Royal Blue HG,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Royal Blue SM,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Majestic HG,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Majestic SM,,,,,,,,,deny,manual,202.93,507.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Brushed Aluminum,,,,,,,,,deny,manual,147.66,369.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,River Rock,,,,,,,,,deny,manual,147.66,369.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Sheer Beauty,,,,,,,,,deny,manual,147.66,369.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Fashionista,,,,,,,,,deny,manual,147.66,369.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,The Chameleon,,,,,,,,,deny,manual,147.66,369.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Weekend Getaway,,,,,,,,,deny,manual,156.52,391.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Winter Fun,,,,,,,,,deny,manual,156.52,391.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Casting at First Light,,,,,,,,,deny,manual,156.52,391.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Sugar on Ice,,,,,,,,,deny,manual,156.52,391.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Gris Nube HG 1S,,,,,,,,,deny,manual,251.16,627.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Olmo HG 1S ,,,,,,,,,deny,manual,251.16,627.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Como Ash 01 1S,,,,,,,,,deny,manual,170.17,425.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Como Ash 03 1S,,,,,,,,,deny,manual,170.17,425.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Ida 01 2S,,,,,,,,,deny,manual,156.52,391.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuppowood-BP3596,,,,,,,,Material,Ida 03 2S,,,,,,,,,deny,manual,156.52,391.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
