Handle,Title,Tags
Cuppowood-W093012,"High Wall Cabinet 09""W 30""H 12""D (W093012)_SingleDoor","wall_cabinet:30_high_wall_cabinet, width:09, height:30, depth:12"
Cuppowood-W123012,"High Wall Cabinet 12""W 30""H 12""D (W123012)_SingleDoor","wall_cabinet:30_high_wall_cabinet, width:12, height:30, depth:12"
Cuppowood-W153012,"High Wall Cabinet 15""W 30""H 12""D (W153012)_SingleDoor","wall_cabinet:30_high_wall_cabinet, width:15, height:30, depth:12"
Cuppowood-W183012,"High Wall Cabinet 18""W 30""H 12""D (W183012)_SingleDoor","wall_cabinet:30_high_wall_cabinet, width:18, height:30, depth:12"
Cuppowood-W213012,"High Wall Cabinet 21""W 30""H 12""D (W213012)_SingleDoor","wall_cabinet:30_high_wall_cabinet, width:21, height:30, depth:12"
Cuppowood-W243012,"High Wall Cabinet 24""W 30""H 12""D (W243012)_DoubleDoor","wall_cabinet:30_high_wall_cabinet, width:24, height:30, depth:12"
Cuppowood-W273012,"High Wall Cabinet 27""W 30""H 12""D (W273012)_DoubleDoor","wall_cabinet:30_high_wall_cabinet, width:27, height:30, depth:12"
Cuppowood-W303012,"High Wall Cabinet 30""W 30""H 12""D (W303012)_DoubleDoor","wall_cabinet:30_high_wall_cabinet, width:30, height:30, depth:12"
Cuppowood-W333012,"High Wall Cabinet 33""W 30""H 12""D (W333012)_DoubleDoor","wall_cabinet:30_high_wall_cabinet, width:33, height:30, depth:12"
Cuppowood-W363012,"High Wall Cabinet 36""W 30""H 12""D (W363012)_DoubleDoor","wall_cabinet:30_high_wall_cabinet, width:36, height:30, depth:12"
Cuppowood-W393012,"High Wall Cabinet 39""W 30""H 12""D (W393012)_DoubleDoor","wall_cabinet:30_high_wall_cabinet, width:39, height:30, depth:12"
Cuppowood-W423012,"High Wall Cabinet 42""W 30""H 12""D (W423012)_DoubleDoor","wall_cabinet:30_high_wall_cabinet, width:42, height:30, depth:12"
Cuppowood-W093612,"High Wall Cabinet 09""W 36""H 12""D (W093612)_SingleDoor","wall_cabinet:36_high_wall_cabinet, width:09, height:36, depth:12"
Cuppowood-W123612,"High Wall Cabinet 12""W 36""H 12""D (W123612)_SingleDoor","wall_cabinet:36_high_wall_cabinet, width:12, height:36, depth:12"
Cuppowood-W153612,"High Wall Cabinet 15""W 36""H 12""D (W153612)_SingleDoor","wall_cabinet:36_high_wall_cabinet, width:15, height:36, depth:12"
Cuppowood-W183612,"High Wall Cabinet 18""W 36""H 12""D (W183612)_SingleDoor","wall_cabinet:36_high_wall_cabinet, width:18, height:36, depth:12"
Cuppowood-W213612,"High Wall Cabinet 21""W 36""H 12""D (W213612)_SingleDoor","wall_cabinet:36_high_wall_cabinet, width:21, height:36, depth:12"
Cuppowood-W243612,"High Wall Cabinet 24""W 36""H 12""D (W243612)_DoubleDoor","wall_cabinet:36_high_wall_cabinet, width:24, height:36, depth:12"
Cuppowood-W273612,"High Wall Cabinet 27""W 36""H 12""D (W273612)_DoubleDoor","wall_cabinet:36_high_wall_cabinet, width:27, height:36, depth:12"
Cuppowood-W303612,"High Wall Cabinet 30""W 36""H 12""D (W303612)_DoubleDoor","wall_cabinet:36_high_wall_cabinet, width:30, height:36, depth:12"
Cuppowood-W333612,"High Wall Cabinet 33""W 36""H 12""D (W333612)_DoubleDoor","wall_cabinet:36_high_wall_cabinet, width:33, height:36, depth:12"
Cuppowood-W363612,"High Wall Cabinet 36""W 36""H 12""D (W363612)_DoubleDoor","wall_cabinet:36_high_wall_cabinet, width:36, height:36, depth:12"
Cuppowood-W393612,"High Wall Cabinet 39""W 36""H 12""D (W393612)_DoubleDoor","wall_cabinet:36_high_wall_cabinet, width:39, height:36, depth:12"
Cuppowood-W423612,"High Wall Cabinet 42""W 36""H 12""D (W423612)_DoubleDoor","wall_cabinet:36_high_wall_cabinet, width:42, height:36, depth:12"
Cuppowood-W093912,"High Wall Cabinet 09""W 39""H 12""D (W093912)_SingleDoor","wall_cabinet:39_high_wall_cabinet, width:09, height:39, depth:12"
Cuppowood-W123912,"High Wall Cabinet 12""W 39""H 12""D (W123912)_SingleDoor","wall_cabinet:39_high_wall_cabinet, width:12, height:39, depth:12"
Cuppowood-W153912,"High Wall Cabinet 15""W 39""H 12""D (W153912)_SingleDoor","wall_cabinet:39_high_wall_cabinet, width:15, height:39, depth:12"
Cuppowood-W183912,"High Wall Cabinet 18""W 39""H 12""D (W183912)_SingleDoor","wall_cabinet:39_high_wall_cabinet, width:18, height:39, depth:12"
Cuppowood-W213912,"High Wall Cabinet 21""W 39""H 12""D (W213912)_SingleDoor","wall_cabinet:39_high_wall_cabinet, width:21, height:39, depth:12"
Cuppowood-W243912,"High Wall Cabinet 24""W 39""H 12""D (W243912)_DoubleDoor","wall_cabinet:39_high_wall_cabinet, width:24, height:39, depth:12"
Cuppowood-W273912,"High Wall Cabinet 27""W 39""H 12""D (W273912)_DoubleDoor","wall_cabinet:39_high_wall_cabinet, width:27, height:39, depth:12"
